iso2c,year,cpi
AF,2004,63.1318927309003
AF,2005,71.1409742918197
AF,2006,76.3021776776999
AF,2007,82.7748069188245
AF,2008,108.066600010077
AF,2009,99.1153588128686
AF,2010,100
AF,2011,110.201660141582
AF,2012,118.156300027035
AF,2013,127.200357275341
AF,2014,133.057086584945
AL,1991,5.11561640084525
AL,1992,16.67718679729
AL,1993,30.8535879479423
AL,1994,37.8157163261906
AL,1995,40.76277774116
AL,1996,45.9500359768252
AL,1997,61.1963839895288
AL,1998,73.8290671682311
AL,1999,74.1165853550575
AL,2000,74.153657089776
AL,2001,76.458047439507
AL,2002,82.3992397682072
AL,2003,82.7980542408038
AL,2004,84.6858657493686
AL,2005,86.6900261681513
AL,2006,88.7452111683053
AL,2007,91.3478264295177
AL,2008,94.4164213626452
AL,2009,96.5695899495834
AL,2010,100
AL,2011,103.45034715268
AL,2012,105.552040205314
AL,2013,107.597235059701
AL,2014,109.349499201759
DZ,1969,2.56898612279448
DZ,1970,2.73853920687323
DZ,1971,2.81047081831147
DZ,1972,2.91323026322325
DZ,1973,3.09305929181886
DZ,1974,3.23842108994222
DZ,1975,3.50495340019071
DZ,1976,3.83549628131718
DZ,1977,4.2953447972931
DZ,1978,5.04805773129115
DZ,1979,5.62094163665934
DZ,1980,6.15593299674627
DZ,1981,7.05807529020094
DZ,1982,7.5198505457604
DZ,1983,7.96857235514153
DZ,1984,8.61533339883056
DZ,1985,9.51841737553207
DZ,1986,10.6959987719387
DZ,1987,11.4919159477963
DZ,1988,12.1712657262449
DZ,1989,13.3037242591384
DZ,1990,15.5191315163484
DZ,1991,19.5364739495988
DZ,1992,25.723609198907
DZ,1993,31.0073224191184
DZ,1994,40.0142228066086
DZ,1995,51.9303088998925
DZ,1996,61.6304106937266
DZ,1997,65.1640043139712
DZ,1998,68.3897278572612
DZ,1999,70.1989857221881
DZ,2000,70.4370748408595
DZ,2001,73.4137374166914
DZ,2002,74.4549658665492
DZ,2003,77.6334140791309
DZ,2004,80.7090949130148
DZ,2005,81.8248550245908
DZ,2006,83.7187110034501
DZ,2007,86.7943918373339
DZ,2008,91.0151948909932
DZ,2009,96.234309623431
DZ,2010,100
DZ,2011,104.521764662703
DZ,2012,113.818542171328
DZ,2013,117.521838067973
DZ,2014,120.949252489662
AO,1990,2.22108088069681E-08
AO,1991,4.07808958703272E-08
AO,1992,1.62740447029389E-07
AO,1993,2.407605402157E-06
AO,1994,2.52512348402452E-05
AO,1995,0.000699911725453789
AO,1996,0.0297120061821803
AO,1997,0.0948338071269945
AO,1998,0.196576087851681
AO,1999,0.684469883023073
AO,2000,2.90897558990128
AO,2001,7.34693849323699
AO,2002,15.3475661434394
AO,2003,30.4225161866313
AO,2004,43.6690721373618
AO,2005,53.6971262620668
AO,2006,60.8405910165032
AO,2007,68.2927575963651
AO,2008,76.8114004572421
AO,2009,87.358720378298
AO,2010,100
AO,2011,113.467015350446
AO,2012,125.146736137673
AO,2013,136.129727500683
AO,2014,146.039374789764
AG,1998,79.569380733945
AG,1999,80.4615825688073
AG,2000,81.0825688073395
AG,2001,82.2199923547403
AG,2002,84.1995685889032
AG,2003,85.8781127129751
AG,2004,87.6215050240277
AG,2005,89.460463084316
AG,2006,91.0598241590211
AG,2007,92.3492791612058
AG,2008,97.2750109217996
AG,2009,96.7398427260813
AG,2010,100
AG,2011,103.456749672346
AG,2012,106.950360419397
AG,2013,108.083497160332
AG,2014,109.261003713412
AR,2014,105.5
AM,1993,0.462030295706842
AM,1994,16.0485028362837
AM,1995,44.2860563051802
AM,1996,52.5592166962017
AM,1997,59.8968849634196
AM,1998,65.0914341202852
AM,1999,65.5133865823993
AM,2000,64.9952518414397
AM,2001,67.0399404893515
AM,2002,67.7505969048158
AM,2003,70.9494774934964
AM,2004,75.8884560544918
AM,2005,76.3759204433311
AM,2006,78.5849844378653
AM,2007,82.0485083124573
AM,2008,89.3918115336927
AM,2009,92.4371821149321
AM,2010,100
AM,2011,107.651233637976
AM,2012,110.402229587225
AM,2013,116.798700625537
AM,2014,120.280455960631
